what,kind,bundleId,bundleVersion,description,time
error,log,,,"S:\\Workspace\\Python Projects\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Twitteranalytics\\com.python.pydev.analysis\\6.v1_projectinfodelta (The system cannot find the path specified)",1455168082828
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1455168083667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168088844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168090757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168092020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168247725
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1455168262525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168268463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168281369
executed,command,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.applyPatch",1455168281382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168292404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168318777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168320624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168323763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168324341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455168360830
error,log,,,"S:\\Workspace\\Python Projects\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Twitteranalytics\\org.python.pydev\\4.v1_astdelta (The system cannot find the path specified)",1455168360915
error,log,,,"S:\\Workspace\\Python Projects\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Twitteranalytics\\com.python.pydev.analysis\\7.v1_projectinfodelta (The system cannot find the path specified)",1455168360920
error,log,,,"S:\\Workspace\\Python Projects\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Twitteranalytics\\com.python.pydev.analysis\\8.v1_projectinfodelta (The system cannot find the path specified)",1455168360928
error,log,,,"S:\\Workspace\\Python Projects\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Twitteranalytics\\org.python.pydev\\5.v1_astdelta (The system cannot find the path specified)",1455168360935
error,log,,,"S:\\Workspace\\Python Projects\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Twitteranalytics\\com.python.pydev.analysis\\9.v1_projectinfodelta (The system cannot find the path specified)",1455168360939
error,log,,,"S:\\Workspace\\Python Projects\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Twitteranalytics\\com.python.pydev.analysis\\10.v1_projectinfodelta (The system cannot find the path specified)",1455168360946
error,log,,,"S:\\Workspace\\Python Projects\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Twitteranalytics\\org.python.pydev\\6.v1_astdelta (The system cannot find the path specified)",1455168360955
